name_en	translation_bg	translation_bs	translation_cs
Adventure Vehicle Trail	Път за офроуд превозни средства	Staza za terenska vozila	Terénní trasa pro vozidla
Aerospace Company	Аерокосмическа компания	Aerospace kompanija	Letecká společnost
Afghan Restaurant	Афганистански ресторант	Afganistanski restoran	Afghánská restaurace
Airfield	Летище	Aerodrom	Letiště
Airline Company	Авиокомпания	Avio-kompanija	Letecká společnost
Algerian Restaurant	Алжирски ресторант	Alžirski restoran	Alžírská restaurace
American Football Club	Клуб по американски футбол	Klub američkog fudbala	Klub amerického fotbalu
American Football Stadium	Стадион за американски футбол	Stadion za američki fudbal	Stadion amerického fotbalu
Amphitheater	Амфитеатър	Amfiteatar	Amfiteátr
Arabian Restaurant	Арабски ресторант	Arapski restoran	Arabská restaurace
Arboretum or Botanical Garden	Дендрариум или ботаническа градина	Arboretum ili botanički vrt	Arboretum nebo botanická zahrada
Argentinian Restaurant	Аржентински ресторант	Argentinski restoran	Argentinská restaurace
Armenian Restaurant	Арменски ресторант	Jermenski restoran	Arménská restaurace
Art School	Художествено училище	Umjetnička škola	Umělecká škola
Asian Restaurant	Азиатски ресторант	Azijski restoran	Asijská restaurace
Athletics Club	Атлетически клуб	Atletski klub	Atletický klub
Athletics Track	Лекоатлетическа писта	Atletska staza	Atletická dráha
Australian Restaurant	Австралийски ресторант	Australijski restoran	Australská restaurace
Automotive Industry	Автомобилна индустрия	Automobilska industrija	Automobilový průmysl
Baseball Club	Бейзбол клуб	Bejzbol klub	Baseballový klub
Baseball Park	Бейзболна площадка	Bejzbol park	Baseballové hřiště
Basketball Club	Баскетболен клуб	Košarkaški klub	Basketbalový klub
Basketball Stadium	Баскетболна зала	Košarkaški stadion	Basketbalový stadion
Basque Restaurant	Баски ресторант	Baskijski restoran	Baskická restaurace
Beach Volleyball Club	Клуб по плажен волейбол	Klub odbojke na pijesku	Klub plážového volejbalu
Bolivian Restaurant	Боливийски ресторант	Bolivijski restoran	Bolivijská restaurace
Bosnian Restaurant	Босненски ресторант	Bosanski restoran	Bosenská restaurace
Boules Club	Клуб по петанк	Klub kuglanja	Klub pétanque
Bowls Club	Клуб по боулинг	Klub kuglanja	Klub bowlingu
Brazilian Restaurant	Бразилски ресторант	Brazilski restoran	Brazilská restaurace
Buffet Restaurant	Ресторант тип бюфе	Buffet restoran	Bufetová restaurace
Bulgarian Restaurant	Български ресторант	Bugarski restoran	Bulharská restaurace
Burmese Restaurant	Бирмански ресторант	Burmanski restoran	Barmská restaurace
Bus Stop	Автобусна спирка	Autobuska stanica	Autobusová zastávka
Cabaret Theater	Кабаре театър	Kabaret teatar	Kabaretní divadlo
Cajun Restaurant	Кейджънски ресторант	Cajun restoran	Cajunská restaurace
Cambodian Restaurant	Камбоджански ресторант	Kambodžanski restoran	Kambodžská restaurace
Canoe Club	Клуб по кану	Kanu klub	Kanoe klub
Car Bodyshop	Автомобилна боядисница	Autolimarski servis	Autolakovna
Car Glass Replacement Shop	Сервиз за автомобилни стъкла	Servis za auto-stakla	Servis autoskel
Car Parking Facility	Автомобилен паркинг	Parking za automobile	Parkoviště pro automobily
Caribbean Restaurant	Карибски ресторант	Karipski restoran	Karibská restaurace
Chicken Restaurant	Ресторант за пилешко месо	Restoran sa piletinom	Restaurace s kuřecím masem
Chicken Wings Restaurant	Ресторант за пилешки крилца	Restoran sa pilećim krilima	Restaurace s kuřecími křídly
Chilean Restaurant	Чилийски ресторант	Čileanski restoran	Chilská restaurace
Chinese Restaurant	Китайски ресторант	Kineski restoran	Čínská restaurace
Church	Църква	Crkva	Kostel
Climbing Club	Клуб по катерене	Penjački klub	Horolezecký klub
Clothing and Accessories Shop for Children	Магазин за детско облекло и аксесоари	Prodavnica dječije odjeće i dodataka	Obchod s dětským oblečením a doplňky
Clothing and Accessories Shop for Men	Магазин за мъжко облекло и аксесоари	Prodavnica muške odjeće i dodataka	Obchod s pánským oblečením a doplňky
Clothing and Accessories Shop for Women	Магазин за дамско облекло и аксесоари	Prodavnica ženske odjeće i dodataka	Obchod s dámským oblečením a doplňky
Coach Parking Facility	Паркинг за автобуси	Parking za autobuse	Parkoviště pro autobusy
Coach Stop	Автобусна спирка	Autobuska stanica	Autobusová zastávka
Cocktail Bar	Коктейл бар	Cocktail bar	Koktejlový bar
Colombian Restaurant	Колумбийски ресторант	Kolumbijski restoran	Kolumbijská restaurace
Concert Hall	Концертна зала	Koncertna dvorana	Koncertní síň
Corsican Restaurant	Корсикански ресторант	Korzikanski restoran	Korsická restaurace
Creole Restaurant	Креолски ресторант	Kreolski restoran	Kreolská restaurace
Cricket Club	Клуб по крикет	Kriket klub	Kriketový klub
Cricket Ground	Крикет игрище	Kriket teren	Kriketové hřiště
Cuban Restaurant	Кубински ресторант	Kubanski restoran	Kubánská restaurace
Culinary School	Кулинарно училище	Kulinarska škola	Kulinářská škola
Cycling Club	Велосипеден клуб	Biciklistički klub	Cyklistický klub
Cypriot Restaurant	Кипърски ресторант	Kiparski restoran	Kyperská restaurace
Czech Restaurant	Чешки ресторант	Češki restoran	Česká restaurace
Danish Restaurant	Датски ресторант	Danski restoran	Dánská restaurace
Dinner Theater	Театър с вечеря	Teatar sa večerom	Divadlo s večeří
Discotheque	Дискотека	Diskoteka	Diskotéka
Dominican Restaurant	Доминикански ресторант	Dominikanski restoran	Dominikánská restaurace
Dongbei Restaurant	Ресторант Дунбей	Dongbei restoran	Restaurace Dongbei
Doughnut Restaurant	Поничкарница	Restoran sa krofnama	Restaurace s koblihami
Drive Through Bottle Shop	Магазин за напитки с обслужване в автомобила	Prodavnica pića sa uslugom iz auta	Prodej nápojů s obsluhou z auta
Drive-In Cinema	Автокино	Auto-kino	Autokino
Dutch Restaurant	Холандски ресторант	Holandski restoran	Holandská restaurace
Egyptian Restaurant	Египетски ресторант	Egipatski restoran	Egyptská restaurace
English Restaurant	Английски ресторант	Engleski restoran	Anglická restaurace
Erotic Restaurant	Еротичен ресторант	Erotski restoran	Erotická restaurace
Ethiopian Restaurant	Етиопски ресторант	Etiopski restoran	Etiopská restaurace
Exotic Restaurant	Екзотичен ресторант	Egzotični restoran	Exotická restaurace
Fairground	Панаирна площ	Vašarište	Lunapark
Fast Food Restaurant	Ресторант за бързо хранене	Restoran brze hrane	Restaurace rychlého občerstvení
Field Hockey Club	Клуб по хокей на трева	Klub hokeja na travi	Klub pozemního hokeje
Field Hockey Ground	Игрище за хокей на трева	Teren za hokej na travi	Hřiště pro pozemní hokej
Finnish Restaurant	Фински ресторант	Finski restoran	Finská restaurace
Fondue Restaurant	Ресторант за фондю	Restoran sa fondue	Restaurace s fondue
French Restaurant	Френски ресторант	Francuski restoran	Francouzská restaurace
Fusion Restaurant	Ресторант фюжън кухня	Fusion restoran	Fusion restaurace
Gas Industry	Газова индустрия	Gasna industrija	Plynárenský průmysl
General Practitioner	Общопрактикуващ лекар	Opšti ljekar	Praktický lékař
German Restaurant	Немски ресторант	Njemački restoran	Německá restaurace
Golf Club	Голф клуб	Golf klub	Golfový klub
Greek Restaurant	Гръцки ресторант	Grčki restoran	Řecká restaurace
Grill Restaurant	Ресторант скара	Roštilj restoran	Grilová restaurace
Guangdong Restaurant	Ресторант Гуандун	Guangdong restoran	Restaurace Guangdong
Gurudwara	Гурудвара	Gurudwara	Gurudwara
Gymnastics Club	Гимнастически клуб	Gimnastički klub	Gymnastický klub
Hamburger Restaurant	Ресторант за хамбургери	Restoran sa hamburgerima	Restaurace s hamburgery
Hawaiian Restaurant	Хавайски ресторант	Havajski restoran	Havajská restaurace
High School	Средно училище	Srednja škola	Střední škola
Hiking Trail	Туристическа пътека	Planinska staza	Turistická stezka
Historic Site	Историческо място	Istorijsko mjesto	Historické místo
Historical Park	Исторически парк	Istorijsko park	Historický park
Hockey Club	Хокеен клуб	Hokej klub	Hokejový klub
Horse Race Track	Конна писта	Hipodrom	Dostihová dráha
Horse Riding Club	Клуб по конна езда	Klub jahanja	Jezdecký klub
Horse Riding Trail	Пътека за конна езда	Staza za jahanje	Stezka pro jízdu na koni
Hospital for Women and Children	Болница за жени и деца	Bolnica za žene i djecu	Nemocnice pro ženy a děti
Hospital of Chinese Medicine	Болница за китайска медицина	Bolnica kineske medicine	Nemocnice tradiční čínské medicíny
Hot Pot Restaurant	Хот-пот ресторант	Restoran sa hot pot	Restaurace s hot potem
Hunan Restaurant	Ресторант Хунан	Hunan restoran	Restaurace Hunan
