name_en	translation_bs	IsSynonym
Adventure Vehicle Trail	Staza za terenska vozila	
Aerospace Company	Vazduhoplovna kompanija	
Aerospace Company	Avio kompanija	SYNONYM
Afghan Restaurant	Avganistanski restoran	
Airfield	Aerodrom	
Airline Company	Avio-kompanija	
Airline Company	Aviokompanija	SYNONYM
Algerian Restaurant	Alžirski restoran	
American Football Club	Klub američkog fudbala	
American Football Stadium	Stadion za američki fudbal	
Amphitheater	Amfiteatar	
Arabian Restaurant	Arapski restoran	
Arboretum or Botanical Garden	Arboretum ili botanička bašta	
Arboretum or Botanical Garden	Botanički vrt	SYNONYM
Argentinian Restaurant	Argentinski restoran	
Armenian Restaurant	Armenski restoran	
Art School	Umjetnička škola	
Asian Restaurant	Azijski restoran	
Athletics Club	Atletski klub	
Athletics Track	Atletska staza	
Australian Restaurant	Australijski restoran	
Automotive Industry	Automobilska industrija	
Baseball Club	Bejzbol klub	
Baseball Park	Bejzbol stadion	
Baseball Park	Stadion za bejzbol	SYNONYM
Basketball Club	Košarkaški klub	
Basketball Stadium	Košarkaški stadion	
Basque Restaurant	Baskijski restoran	
Beach Volleyball Club	Klub odbojke na pijesku	
Bolivian Restaurant	Bolivijski restoran	
Bosnian Restaurant	Bosanski restoran	
Boules Club	Bocanje klub	
Boules Club	Petank klub	SYNONYM
Bowls Club	Kuglanje klub	
Brazilian Restaurant	Brazilski restoran	
Buffet Restaurant	Bife restoran	
Buffet Restaurant	Samoposluživanje	SYNONYM
Bulgarian Restaurant	Bugarski restoran	
Burmese Restaurant	Burmanski restoran	
Bus Stop	Autobuska stanica	
Bus Stop	Autobusko stajalište	SYNONYM
Cabaret Theater	Kabare pozorište	
Cajun Restaurant	Kajunski restoran	
Cambodian Restaurant	Kambodžanski restoran	
Canoe Club	Kanu klub	
Car Bodyshop	Auto limarija	
Car Bodyshop	Limarija	SYNONYM
Car Glass Replacement Shop	Auto staklo servis	
Car Glass Replacement Shop	Zamjena autostakla	SYNONYM
Car Parking Facility	Parking	
Car Parking Facility	Parkiralište	SYNONYM
Caribbean Restaurant	Karipski restoran	
Chicken Restaurant	Pileći restoran	
Chicken Wings Restaurant	Restoran pilećih krilaca	
Chilean Restaurant	Čileanski restoran	
Chinese Restaurant	Kineski restoran	
Church	Crkva	
Climbing Club	Penjački klub	
Clothing and Accessories Shop for Children	Prodavnica dječije odjeće i opreme	
Clothing and Accessories Shop for Children	Dječija prodavnica	SYNONYM
Clothing and Accessories Shop for Men	Prodavnica muške odjeće i opreme	
Clothing and Accessories Shop for Men	Muška prodavnica	SYNONYM
Clothing and Accessories Shop for Women	Prodavnica ženske odjeće i opreme	
Clothing and Accessories Shop for Women	Ženska prodavnica	SYNONYM
Coach Parking Facility	Parking za autobuse	
Coach Stop	Stajalište autobusa	
Cocktail Bar	Koktel bar	
Colombian Restaurant	Kolumbijski restoran	
Concert Hall	Koncertna dvorana	
Corsican Restaurant	Korzikanski restoran	
Creole Restaurant	Kreolski restoran	
Cricket Club	Kriket klub	
Cricket Ground	Kriket teren	
Cuban Restaurant	Kubanski restoran	
Culinary School	Kulinarska škola	
Cycling Club	Biciklistički klub	
Cypriot Restaurant	Kiparski restoran	
Czech Restaurant	Češki restoran	
Danish Restaurant	Danski restoran	
Dinner Theater	Pozorište s večerom	
Discotheque	Diskoteka	
Discotheque	Noćni klub	SYNONYM
Dominican Restaurant	Dominikanski restoran	
Dongbei Restaurant	Dongbei restoran	
Doughnut Restaurant	Restoran krafni	
Doughnut Restaurant	krofne	SYNONYM
Drive Through Bottle Shop	Prodavnica pića s prevozom	
Drive-In Cinema	Auto-kino	
Dutch Restaurant	Holandski restoran	
Egyptian Restaurant	Egipatski restoran	
English Restaurant	Engleski restoran	
Erotic Restaurant	Erotski restoran	
Ethiopian Restaurant	Etiopski restoran	
Exotic Restaurant	Egzotični restoran	
Fairground	Zabavni park	
Fairground	Luna park	SYNONYM
Fast Food Restaurant	Brza hrana	
Field Hockey Club	Klub hokeja na travi	
Field Hockey Ground	Teren za hokej na travi	
Finnish Restaurant	Finski restoran	
Fondue Restaurant	Fondue restoran	
French Restaurant	Francuski restoran	
Fusion Restaurant	Fusion restoran	
Fusion Restaurant	Fuzija restoran	SYNONYM
Gas Industry	Gasna industrija	
General Practitioner	Opšti ljekar	
General Practitioner	Porodični ljekar	SYNONYM
German Restaurant	Njemački restoran	
Golf Club	Golf klub	
Greek Restaurant	Grčki restoran	
Grill Restaurant	Roštilj restoran	
Grill Restaurant	Grill restoran	SYNONYM
Guangdong Restaurant	Guangdong restoran	
Guangdong Restaurant	Kantonski restoran	SYNONYM
Gurudwara	Gurudvara	
Gurudwara	Sikh hram	SYNONYM
Gymnastics Club	Gimnastički klub	
Hamburger Restaurant	Hamburger restoran	
Hamburger Restaurant	Pljeskavica restoran	SYNONYM
Hawaiian Restaurant	Havajski restoran	
High School	Srednja škola	
Hiking Trail	Pješačka staza	
Hiking Trail	Planinarska staza	SYNONYM
Historic Site	Povijesno mjesto	
Historic Site	Historijsko mjesto	SYNONYM
Historical Park	Istorijski park	
Historical Park	Povijesni park	SYNONYM
Hockey Club	Hokejaški klub	
Horse Race Track	Konjička staza	
Horse Race Track	Hipodrom	SYNONYM
Horse Riding Club	Klub jahanja	
Horse Riding Club	Konjički klub	SYNONYM
Horse Riding Trail	Staza za jahanje	
Hospital for Women and Children	Bolnica za žene i djecu	
Hospital of Chinese Medicine	Bolnica kineske medicine	
Hot Pot Restaurant	Hot pot restoran	
Hunan Restaurant	Hunan restoran	
Hungarian Restaurant	Mađarski restoran	
Ice Cream Parlor	Sladoledarnica	
Ice Cream Parlor	Slastičarnica	SYNONYM
Ice Hockey Arena	Arena za hokej na ledu	
Ice Hockey Club	Klub hokeja na ledu	
Indian Restaurant	Indijski restoran	
Indonesian Restaurant	Indonezijski restoran	
International Railway Station	Međunarodna željeznička stanica	
International Restaurant	Internacionalni restoran	
International Restaurant	Međunarodni restoran	SYNONYM
Iranian Restaurant	Iranski restoran	
Irish Restaurant	Irski restoran	
Israeli Restaurant	Izraelski restoran	
Italian Restaurant	Italijanski restoran	
Japanese Restaurant	Japanski restoran	
Jazz Club	Jazz klub	
Jewish Restaurant	Jevrejski restoran	
Karaoke Bar	Karaoke bar	
Korean Restaurant	Korejski restoran	
Kosher Restaurant	Košer restoran	
Lakeshore	Obala jezera	
Lakeshore	Jezerska obala	SYNONYM
Latin American Restaurant	Latinoamerički restoran	
Lebanese Restaurant	Libanski restoran	
Local Post Office	Lokalna pošta	
Local Post Office	Poštanski ured	SYNONYM
Luxembourgian Restaurant	Luksemburški restoran	
Macrobiotic Restaurant	Makrobiotički restoran	
Maghrib Restaurant	Magrebski restoran	
Maltese Restaurant	Malteški restoran	
Mauritian Restaurant	Mauricijski restoran	
Medicinal Marijuana Dispensary	Apoteka medicinske marihuane	
Mediterranean Restaurant	Mediteranski restoran	
Mediterranean Restaurant	Mediteran restoran	SYNONYM
Mexican Restaurant	Meksički restoran	
Middle Eastern Restaurant	Bliskoistočni restoran	
Middle School	Osnovna škola	
Middle School	Viši razredi	SYNONYM
Military Airport	Vojni aerodrom	
Mining Company	Rudarska kompanija	
Mongolian Restaurant	Mongolski restoran	
Moroccan Restaurant	Marokanski restoran	
Mosque	Džamija	
Motor Racing Stadium	Trkaći stadion	
Motor Racing Stadium	Auto-moto stadion	SYNONYM
Motor Sport Club	Moto klub	
Motor Sport Club	Automoto klub	SYNONYM
Motorcycle Racing Club	Moto trkaći klub	
Mountain Bike Trail	Staza za brdski bicikl	
Multi-Purpose Sport Stadium	Višenamjenski sportski stadion	
Music and Video Rental Shop	Prodavnica iznajmljivanja muzike i videa	
Music Center	Muzički centar	
Mussels Restaurant	Restoran dagnji	
Mussels Restaurant	Školjke restoran	SYNONYM
Nail Salon	Salon za nokte	
National Railway Station	Nacionalna željeznička stanica	
Natural Recreation Attraction	Prirodna rekreaciona atrakcija	
Nepalese Restaurant	Nepalski restoran	
Netball Club	Netball klub	
Netball Stadium	Netball stadion	
Norwegian Restaurant	Norveški restoran	
Oil Industry	Naftna industrija	
Opera House	Opera	
Opera House	Operska kuća	SYNONYM
Organic Food Restaurant	Restoran organske hrane	
Organic Food Restaurant	Eko restoran	SYNONYM
Oriental Restaurant	Orijentalni restoran	
Pagoda	Pagoda	
Pakistani Restaurant	Pakistanski restoran	
Pancake House	Palačinkarnica	
Parkway	Parkovna cesta	
Parkway	Šetalište	SYNONYM
Peruvian Restaurant	Peruanski restoran	
Pharmaceutical Industry	Farmaceutska industrija	
Philippine Restaurant	Filipinski restoran	
Pizzeria	Pizzeria	
Pizzeria	Picerija	SYNONYM
Polish Restaurant	Poljski restoran	
Polynesian Restaurant	Polinezijski restoran	
Portuguese Restaurant	Portugalski restoran	
Pre School	Predškolska ustanova	
Pre School	Vrtić	SYNONYM
Preserve	Rezervat	
Primary School	Osnovna škola	
Private Airport	Privatni aerodrom	
Private Club	Privatni klub	
Provençal Restaurant	Provanški restoran	
Pub Food Restaurant	Pub restoran	
Public Airport	Javni aerodrom	
Public Transport Ticket Office	Šalter javnog prevoza	
Public Transport Ticket Office	Kasa za karte	SYNONYM
Race Track	Trkaća staza	
Race Track	Hipodrom	SYNONYM
Recreational Marijuana Dispensary	Apoteka rekreacione marihuane	
Retirement Community	Dom za starije	
Retirement Community	Staračka zajednica	SYNONYM
River Scenic Area	Riječno područje	
River Scenic Area	Obala rijeke	SYNONYM
Rock Climbing Trail	Staza za penjanje po stijeni	
Romanian Restaurant	Rumunski restoran	
Rowing Club	Veslački klub	
Rugby Club	Ragbi klub	
Rugby Ground	Ragbi teren	
Running Club	Atletski klub	
Running Club	Klub trčanja	SYNONYM
Russian Restaurant	Ruski restoran	
Sailing Club	Jedrenje klub	
Sailing Club	Jedrilački klub	SYNONYM
Salad Bar	Salata bar	
Sandwich Restaurant	Sendvič restoran	
Sandwich Restaurant	Bifé	SYNONYM
Savoy Restaurant	Savoyski restoran	
Scandinavian Restaurant	Skandinavski restoran	
Scottish Restaurant	Škotski restoran	
Scuba Diving Club	Ronilački klub	
Seafood Restaurant	Restoran morskih plodova	
Seafood Restaurant	Riblji restoran	SYNONYM
Seashore	Morska obala	
Seashore	Obala mora	SYNONYM
Senior High School	Gimnazija	
Senior High School	Viša srednja škola	SYNONYM
Shandong Restaurant	Shandong restoran	
Shanghainese Restaurant	Šangajski restoran	
Shooting Club	Strelački klub	
Sichuan Restaurant	Sichuan restoran	
Sicilian Restaurant	Sicilijski restoran	
Skateboard Club	Skejt klub	
Skateboard Club	Skateboard klub	SYNONYM
Ski Resort	Skijalište	
Skiing Club	Skijaški klub	
Slavic Restaurant	Slovanski restoran	
Slovak Restaurant	Slovački restoran	
Snacks Restaurant	Restoran grickalica	
Snacks Restaurant	Zalogajnica	SYNONYM
Snooker, Pool or Billiard Centre	Centar za snuker i biljar	
Snooker, Pool or Billiard Centre	Bilijar centar	SYNONYM
Soccer Club	Fudbalski klub	
Soccer Stadium	Fudbalski stadion	
Soul Food	Soul food	
Soup Restaurant	Restoran juha	
Soup Restaurant	Čorbadžinica	SYNONYM
Spanish Restaurant	Španski restoran	
Special Clothing and Accessories Shop	Specijalizovana prodavnica odjeće i opreme	
Special School	Specijalna škola	
Specialist	Specijalista	
Specialized Hospital	Specijalizovana bolnica	
Sport School	Sportska škola	
Sports Clothing and Accessories Shop	Prodavnica sportske odjeće i opreme	
Squash Club	Squash klub	
Squash Club	Skvoš klub	SYNONYM
Squash Court	Squash teren	
Squash Court	Skvoš teren	SYNONYM
Steak House	Steak house	
Steak House	Biftek restoran	SYNONYM
Subway Station	Stanica podzemne željeznice	
Subway Station	Metro stanica	SYNONYM
Sudanese Restaurant	Sudanski restoran	
Surinamese Restaurant	Surinamski restoran	
Sushi Restaurant	Sushi restoran	
Swedish Restaurant	Švedski restoran	
Swimming Club	Plivački klub	
Swimming Pool	Bazen	
Swimming Pool	Plivački bazen	SYNONYM
Swiss Restaurant	Švicarski restoran	
Synagogue	Sinagoga	
Syrian Restaurant	Sirijski restoran	
Table Tennis Club	Stoni tenis klub	
Taiwanese Restaurant	Tajvanski restoran	
Takeaway Food	Hrana za ponijeti	
Tapas Restaurant	Tapas restoran	
Taxi Limousine And Shuttle Service Company	Taksi limuzina i shuttle kompanija	
Technical School	Tehnička škola	
Temple	Hram	
Tennis Club	Tenis klub	
Tennis Court	Tenis teren	
Teppanyaki Restaurant	Teppanyaki restoran	
Thai Restaurant	Tajlandski restoran	
Tibetan Restaurant	Tibetski restoran	
Tourist Information Office	Turistički informativni ured	
Tourist Information Office	Turistička informacija	SYNONYM
Tram Stop	Tramvajska stanica	
Tram Stop	Tramvajsko stajalište	SYNONYM
Transport Company	Transportna kompanija	
Transport Company	Prijevozna kompanija	SYNONYM
Truck Parking Facility	Parking za kamione	
Truck Stop	Stajalište za kamione	
Truck Stop	Kamionsko stajalište	SYNONYM
Truck Wash	Kamionska perionica	
Tunisian Restaurant	Tuniski restoran	
Turkish Restaurant	Turski restoran	
Tyres Service	Servis guma	
Urban Railway Station	Gradska željeznička stanica	
Uruguayan Restaurant	Urugvajski restoran	
Vegan Restaurant	Veganski restoran	
Vegetarian Restaurant	Vegetarijanski restoran	
Venezuelan Restaurant	Venecuelanski restoran	
Vietnamese Restaurant	Vijetnamski restoran	
Vocational School	Stručna škola	
Volleyball Club	Odbojkaški klub	
Welsh Restaurant	Velški restoran	
Western Restaurant	Western restoran	
Western Restaurant	Restoran zapadne kuhinje	SYNONYM
Wilderness Area	Divljina	
Wilderness Area	Područje divljine	SYNONYM
Wine Bar	Vinski bar	
Wine Bar	Vinoteka	SYNONYM
