name_en	translation_sq	IsSynonym
Adventure Vehicle Trail	Shteg për Automjete Aventurë	
Adventure Vehicle Trail	Pistë Offroad	SYNONYM
Adventure Vehicle Trail	Rrugë për Xhipe	SYNONYM
Aerospace Company	Kompani Ajrorumore	
Afghan Restaurant	Restorant Afghan	
Airfield	Aeroport	
Airfield	Fushë Fluturimi	SYNONYM
Airline Company	Kompani Ajrore	
Airline Company	Linjë Ajrore	SYNONYM
Algerian Restaurant	Restorant Algerian	
American Football Club	Klub Futbolli Amerikan	
American Football Stadium	Stadion Futbolli Amerikan	
Amphitheater	Amfiteatër	
Arabian Restaurant	Restorant Arab	
Arboretum or Botanical Garden	Arboret ose Kopsht Botanik	
Arboretum or Botanical Garden	Kopsht Botanik	SYNONYM
Argentinian Restaurant	Restorant Argjentinase	
Armenian Restaurant	Restorant Armen	
Art School	Shkollë Arti	
Asian Restaurant	Restorant Aziatik	
Athletics Club	Klub Atletike	
Athletics Club	Klub Atletizmi	SYNONYM
Athletics Track	Pistë Atletike	
Athletics Track	Pistë Atletizmi	SYNONYM
Australian Restaurant	Restorant Australian	
Automotive Industry	Industri Automobilistike	
Automotive Industry	Industri e Automjeteve	SYNONYM
Baseball Club	Klub Bejsbolli	
Baseball Park	Park Bejsbolli	
Baseball Park	Fushë Bejsbolli	SYNONYM
Basketball Club	Klub Basketbolli	
Basketball Stadium	Stadion Basketbolli	
Basketball Stadium	Pallat Sportesh për Basketboll	SYNONYM
Basque Restaurant	Restorant Bask	
Beach Volleyball Club	Klub Volejbolli Plazhi	
Bolivian Restaurant	Restorant Bolivian	
Bosnian Restaurant	Restorant Boshnjak	
Boules Club	Klub Petank	
Bowls Club	Klub Lojës me Topa	
Bowls Club	Klub Boulingu	SYNONYM
Brazilian Restaurant	Restorant Brazilian	
Buffet Restaurant	Restorant Bufé	
Buffet Restaurant	Bufé	SYNONYM
Bulgarian Restaurant	Restorant Bullgar	
Burmese Restaurant	Restorant Birman	
Bus Stop	Stacion Autobusi	
Bus Stop	Ndalesa Autobusi	SYNONYM
Bus Stop	Stacion	SYNONYM
Cabaret Theater	Teatër Kabaret	
Cabaret Theater	Kabaret	SYNONYM
Cajun Restaurant	Restorant Kajun	
Cambodian Restaurant	Restorant Kamboxhian	
Canoe Club	Klub Kanueje	
Canoe Club	Klub Kanoje	SYNONYM
Car Bodyshop	Servis Karoserie	
Car Bodyshop	Riparim Karoserie	SYNONYM
Car Glass Replacement Shop	Shërbim Zëvendësimi Xhamash	
Car Glass Replacement Shop	Riparim Xhamash	SYNONYM
Car Parking Facility	Parking Automjetesh	
Car Parking Facility	Parking	SYNONYM
Car Parking Facility	Vend Parkimi	SYNONYM
Caribbean Restaurant	Restorant Karaibik	
Chicken Restaurant	Restorant Pule	
Chicken Wings Restaurant	Restorant Krahë Pule	
Chilean Restaurant	Restorant Kilian	
Chinese Restaurant	Restorant Kinez	
Church	Kishë	
Climbing Club	Klub Alpinizmi	
Climbing Club	Klub Ngjitjeje	SYNONYM
Clothing and Accessories Shop for Children	Dyqan Rrobash për Fëmijë	
Clothing and Accessories Shop for Children	Dyqan Fëmijësh	SYNONYM
Clothing and Accessories Shop for Men	Dyqan Rrobash për Meshkuj	
Clothing and Accessories Shop for Men	Dyqan Burracak	SYNONYM
Clothing and Accessories Shop for Women	Dyqan Rrobash për Gra	
Clothing and Accessories Shop for Women	Dyqan Grash	SYNONYM
Coach Parking Facility	Parking Autokarësh	
Coach Parking Facility	Parking Autobusësh	SYNONYM
Coach Stop	Stacion Autokarësh	
Coach Stop	Ndalesa Autokarësh	SYNONYM
Cocktail Bar	Bar Koktejesh	
Cocktail Bar	Bar Kokteilesh	SYNONYM
Colombian Restaurant	Restorant Kolumbian	
Concert Hall	Sallë Koncertesh	
Concert Hall	Sallë Koncertore	SYNONYM
Corsican Restaurant	Restorant Korsikan	
Creole Restaurant	Restorant Kreol	
Cricket Club	Klub Kriketi	
Cricket Ground	Fushë Kriketi	
Cricket Ground	Terren Kriketi	SYNONYM
Cuban Restaurant	Restorant Kuban	
Culinary School	Shkollë Kulinarie	
Culinary School	Shkollë Gatimi	SYNONYM
Cycling Club	Klub Çiklizmi	
Cycling Club	Klub Biçikletash	SYNONYM
Cypriot Restaurant	Restorant Qipriot	
Czech Restaurant	Restorant Çek	
Danish Restaurant	Restorant Danez	
Dinner Theater	Teatër me Darkë	
Discotheque	Diskotekë	
Discotheque	Disko	SYNONYM
Dominican Restaurant	Restorant Dominikan	
Dongbei Restaurant	Restorant Dongbei	
Doughnut Restaurant	Restorant Donats	
Doughnut Restaurant	Dyqan Donatesh	SYNONYM
Drive Through Bottle Shop	Shitore Pijesh me Shërbim në Makinë	
Drive-In Cinema	Kinema në Makinë	
Drive-In Cinema	Kinema Drive-In	SYNONYM
Dutch Restaurant	Restorant Holandez	
Egyptian Restaurant	Restorant Egjiptian	
English Restaurant	Restorant Anglez	
Erotic Restaurant	Restorant Erotik	
Ethiopian Restaurant	Restorant Etiopian	
Exotic Restaurant	Restorant Ekzotik	
Fairground	Panairi	
Fairground	Shesh Paniri	SYNONYM
Fast Food Restaurant	Restorant Ushqimi të Shpejta	
Fast Food Restaurant	Ushqim i Shpejtë	SYNONYM
Fast Food Restaurant	Fast Food	SYNONYM
Field Hockey Club	Klub Hokej në Fushë	
Field Hockey Ground	Fushë Hokej në Fushë	
Finnish Restaurant	Restorant Finlandez	
Fondue Restaurant	Restorant Fondiu	
French Restaurant	Restorant Francez	
Fusion Restaurant	Restorant Fuzion	
Gas Industry	Industri Gazi	
Gas Industry	Industri e Gazit	SYNONYM
General Practitioner	Mjek i Përgjithshëm	
General Practitioner	Doktor Familje	SYNONYM
German Restaurant	Restorant Gjerman	
Golf Club	Klub Golfi	
Greek Restaurant	Restorant Grek	
Grill Restaurant	Restorant Skara	
Grill Restaurant	Skara	SYNONYM
Guangdong Restaurant	Restorant Guangdong	
Gurudwara	Gurudvara	
Gymnastics Club	Klub Gjimnastike	
Gymnastics Club	Klub Gjimnastikës	SYNONYM
Hamburger Restaurant	Restorant Hamburgerësh	
Hawaiian Restaurant	Restorant Havajan	
High School	Shkollë e Mesme	
High School	Gjimnaz	SYNONYM
Hiking Trail	Shtegtim Këmbësor	
Hiking Trail	Shteg Ecjeje	SYNONYM
Hiking Trail	Shteg Malor	SYNONYM
Historic Site	Vend Historik	
Historic Site	Objekt Historik	SYNONYM
Historical Park	Park Historik	
Hockey Club	Klub Hokej	
Horse Race Track	Pistë Garash Kuajsh	
Horse Race Track	Hipodrom	SYNONYM
Horse Riding Club	Klub Kalërimi	
Horse Riding Club	Klub Hipike	SYNONYM
Horse Riding Trail	Shtegtim Kalërimi	
Horse Riding Trail	Shteg Kalërimi	SYNONYM
Hospital for Women and Children	Spital për Gra dhe Fëmijë	
Hospital for Women and Children	Spital Gjinekologjik	SYNONYM
Hospital of Chinese Medicine	Spital Mjekësie Kineze	
Hot Pot Restaurant	Restorant Hot Pot	
Hunan Restaurant	Restorant Hunan	
Hungarian Restaurant	Restorant Hungarez	
Ice Cream Parlor	Ëmbëltore Akullore	
Ice Cream Parlor	Akullore	SYNONYM
Ice Cream Parlor	Dyqan Akullore	SYNONYM
Ice Hockey Arena	Arenë Hokej në Akull	
Ice Hockey Club	Klub Hokej në Akull	
Indian Restaurant	Restorant Indian	
Indonesian Restaurant	Restorant Indonezian	
International Railway Station	Stacion Ndërkombëtar Hekurudhor	
International Railway Station	Stacion Treni Ndërkombëtar	SYNONYM
International Restaurant	Restorant Ndërkombëtar	
Iranian Restaurant	Restorant Iranian	
Irish Restaurant	Restorant Irlandez	
Israeli Restaurant	Restorant Izraelit	
Italian Restaurant	Restorant Italian	
Japanese Restaurant	Restorant Japonez	
Jazz Club	Klub Xhazi	
Jewish Restaurant	Restorant Hebre	
Jewish Restaurant	Restorant Çifut	SYNONYM
Karaoke Bar	Bar Karaoke	
Korean Restaurant	Restorant Korean	
Kosher Restaurant	Restorant Kosher	
Lakeshore	Breg Liqeni	
Lakeshore	Buzë Liqeni	SYNONYM
Latin American Restaurant	Restorant Latinoamerikan	
Lebanese Restaurant	Restorant Libanez	
Local Post Office	Postë Lokale	
Local Post Office	Zyrë Postare	SYNONYM
Luxembourgian Restaurant	Restorant Luksemburgaz	
Macrobiotic Restaurant	Restorant Makrobiotik	
Maghrib Restaurant	Restorant Maghrebi	
Maltese Restaurant	Restorant Malti	
Mauritian Restaurant	Restorant Maurician	
Medicinal Marijuana Dispensary	Shpërndarje Marihuane Mjekësore	
Mediterranean Restaurant	Restorant Mesdhetar	
Mexican Restaurant	Restorant Meksikan	
Middle Eastern Restaurant	Restorant Lindjes së Mesme	
Middle School	Shkollë e Mesme e Ulët	
Middle School	Shkollë 9-Vjeçare	SYNONYM
Military Airport	Aeroport Ushtarak	
Military Airport	Bazë Ajrore Ushtarake	SYNONYM
Mining Company	Kompani Minieare	
Mining Company	Kompani Shfrytëzimi Minieresh	SYNONYM
Mongolian Restaurant	Restorant Mongol	
Moroccan Restaurant	Restorant Marokan	
Mosque	Xhami	
Mosque	Xhamia	SYNONYM
Motor Racing Stadium	Stadion Gara Makinash	
Motor Racing Stadium	Pistë Garash	SYNONYM
Motor Sport Club	Klub Sportesh Motorike	
Motor Sport Club	Klub Motorsportesh	SYNONYM
Motorcycle Racing Club	Klub Gara Motorësh	
Motorcycle Racing Club	Klub Motoçikletash	SYNONYM
Mountain Bike Trail	Shtegtim Biçiklete Mali	
Mountain Bike Trail	Shteg Biçikletash Malor	SYNONYM
Multi-Purpose Sport Stadium	Stadion Sportiv Shumë-Përdorimësh	
Multi-Purpose Sport Stadium	Stadion Shumëfunksional	SYNONYM
Music and Video Rental Shop	Dyqan Marje me Qira Muzike dhe Video	
Music Center	Qendër Muzikore	
Music Center	Qendër Muzike	SYNONYM
Mussels Restaurant	Restorant Midhjesh	
Nail Salon	Salon Thonjsh	
Nail Salon	Manikyr	SYNONYM
National Railway Station	Stacion Kombëtar Hekurudhor	
National Railway Station	Stacion Qendror Treni	SYNONYM
Natural Recreation Attraction	Zonë Natyrale Rekreative	
Natural Recreation Attraction	Atraksion Natyror	SYNONYM
Nepalese Restaurant	Restorant Nepalez	
Netball Club	Klub Netboll	
Netball Stadium	Stadion Netbolli	
Norwegian Restaurant	Restorant Norvegjez	
Oil Industry	Industri Nafte	
Oil Industry	Industri e Naftës	SYNONYM
Opera House	Teatër Opere	
Opera House	Operë	SYNONYM
Organic Food Restaurant	Restorant Ushqimi Organik	
Organic Food Restaurant	Restorant Bio	SYNONYM
Oriental Restaurant	Restorant Oriental	
Pagoda	Pagodë	
Pakistani Restaurant	Restorant Pakistani	
Pancake House	Restorant Pankejkësh	
Pancake House	Dyqan Pankejkësh	SYNONYM
Parkway	Rrugë Parku	
Parkway	Bulevard Parku	SYNONYM
Parkway	Rrugë në Park	SYNONYM
Peruvian Restaurant	Restorant Peruan	
Pharmaceutical Industry	Industri Farmaceutike	
Pharmaceutical Industry	Industri e Ilaçeve	SYNONYM
Philippine Restaurant	Restorant Filipinas	
Pizzeria	Piceri	
Pizzeria	Restorant Pice	SYNONYM
Polish Restaurant	Restorant Polak	
Polynesian Restaurant	Restorant Polinezian	
Portuguese Restaurant	Restorant Portugez	
Pre School	Kopësht Fëmijësh	
Pre School	Çerdhe	SYNONYM
Preserve	Rezervë	
Preserve	Rezervat Natyror	SYNONYM
Primary School	Shkollë Fillore	
Private Airport	Aeroport Privat	
Private Club	Klub Privat	
Provençal Restaurant	Restorant Provansalas	
Pub Food Restaurant	Pub	
Pub Food Restaurant	Pab	SYNONYM
Public Airport	Aeroport Publik	
Public Airport	Aeroport Civil	SYNONYM
Public Transport Ticket Office	Zyrë Biletash Transporti Publik	
Public Transport Ticket Office	Bileta Transporti	SYNONYM
Race Track	Pistë Garash	
Race Track	Pistë Garave	SYNONYM
Recreational Marijuana Dispensary	Shpërndarje Marihuane Rekriative	
Retirement Community	Komunitet për të Moshuarit	
Retirement Community	Shtëpi të Moshuarish	SYNONYM
River Scenic Area	Zonë Piktoreske Lumit	
River Scenic Area	Pamje e Lumit	SYNONYM
Rock Climbing Trail	Shtegtim Ngjitje në Shkëmbinj	
Rock Climbing Trail	Shteg Alpinizmi	SYNONYM
Romanian Restaurant	Restorant Rumun	
Rowing Club	Klub Varke	
Rowing Club	Klub Varkash	SYNONYM
Rowing Club	Klub Rremëtarësh	SYNONYM
Rugby Club	Klub Ragbi	
Rugby Ground	Fushë Ragbi	
Rugby Ground	Terren Ragbi	SYNONYM
Running Club	Klub Vrapimi	
Running Club	Klub Vrapuesish	SYNONYM
Russian Restaurant	Restorant Rus	
Sailing Club	Klub Lundrimtari	
Sailing Club	Klub Varkash me Vela	SYNONYM
Salad Bar	Bar Sallatash	
Sandwich Restaurant	Restorant Sandviç	
Savoy Restaurant	Restorant Savoa	
Scandinavian Restaurant	Restorant Skandinav	
Scottish Restaurant	Restorant Skocez	
Scuba Diving Club	Klub Zhytjeje	
Scuba Diving Club	Klub Zhytjesh	SYNONYM
Seafood Restaurant	Restorant Deti	
Seafood Restaurant	Restorant Peshku	SYNONYM
Seashore	Breg Deti	
Seashore	Buzë Detit	SYNONYM
Seashore	Bregdet	SYNONYM
Senior High School	Shkollë e Mesme e Lartë	
Senior High School	Gjimnaz i Lartë	SYNONYM
Shandong Restaurant	Restorant Shandong	
Shanghainese Restaurant	Restorant Shanghajez	
Shooting Club	Klub Shtënie	
Shooting Club	Klub Qitjeje	SYNONYM
Sichuan Restaurant	Restorant Sichuan	
Sicilian Restaurant	Restorant Siçilian	
Skateboard Club	Klub Skeitbord	
Ski Resort	Resort Skijimi	
Ski Resort	Qendër Skijimi	SYNONYM
Skiing Club	Klub Skijimi	
Slavic Restaurant	Restorant Sllav	
Slovak Restaurant	Restorant Sllovak	
Snacks Restaurant	Bar Ushqimesh të Lehta	
Snacks Restaurant	Bar Meze	SYNONYM
Snooker, Pool or Billiard Centre	Qendër Snuker dhe Bilardoi	
Snooker, Pool or Billiard Centre	Sallë Bilardoje	SYNONYM
Soccer Club	Klub Futbolli	
Soccer Stadium	Stadion Futbolli	
Soul Food	Restorant Ushqimesh Tradicionale	
Soul Food	Ushqim Soul	SYNONYM
Soup Restaurant	Restorant Supash	
Spanish Restaurant	Restorant Spanjoll	
Special Clothing and Accessories Shop	Dyqan Rrobash dhe Aksesorësh Special	
Special Clothing and Accessories Shop	Dyqan i Specializuar	SYNONYM
Special School	Shkollë Speciale	
Specialist	Specialist	
Specialist	Mjek Specialist	SYNONYM
Specialist	Doktor Specialist	SYNONYM
Specialized Hospital	Spital i Specializuar	
Sport School	Shkollë Sportive	
Sports Clothing and Accessories Shop	Dyqan Rrobash dhe Aksesorësh Sportive	
Sports Clothing and Accessories Shop	Dyqan Sportiv	SYNONYM
Squash Club	Klub Skuosh	
Squash Court	Fushë Skuoshi	
Squash Court	Terren Skuoshi	SYNONYM
Steak House	Restorant Biftek	
Steak House	Restorant Mishi	SYNONYM
Subway Station	Stacion Metroje	
Subway Station	Stacion Metro	SYNONYM
Sudanese Restaurant	Restorant Sudanez	
Surinamese Restaurant	Restorant Surinamez	
Sushi Restaurant	Restorant Sushi	
Swedish Restaurant	Restorant Suedez	
Swimming Club	Klub Notimi	
Swimming Club	Klub Notarësh	SYNONYM
Swimming Pool	Pishinë	
Swimming Pool	Bazë Notimi	SYNONYM
Swiss Restaurant	Restorant Zviceran	
Synagogue	Sinagogë	
Syrian Restaurant	Restorant Sirian	
Table Tennis Club	Klub Pingpongu	
Table Tennis Club	Klub Tenisi të Tavolinës	SYNONYM
Taiwanese Restaurant	Restorant Tajvanez	
Takeaway Food	Ushqim për Ta Marrë	
Takeaway Food	Ushqim Për Shtëpi	SYNONYM
Takeaway Food	Ushqim Me Porosi	SYNONYM
Tapas Restaurant	Restorant Tapas	
Taxi Limousine And Shuttle Service Company	Kompani Taksi Limuzinash dhe Shërbim Transferi	
Taxi Limousine And Shuttle Service Company	Kompani Taksish	SYNONYM
Technical School	Shkollë Teknike	
Temple	Tempull	
Tennis Club	Klub Tenisi	
Tennis Court	Fushë Tenisi	
Tennis Court	Korte Tenisi	SYNONYM
Teppanyaki Restaurant	Restorant Teppanjaki	
Thai Restaurant	Restorant Tajlandez	
Tibetan Restaurant	Restorant Tibetan	
Tourist Information Office	Zyrë Informacioni Turistik	
Tourist Information Office	Informacion Turistik	SYNONYM
