name_en	translation_sq	synonym1_sq	synonym2_sq	synonym3_sq
Adventure Vehicle Trail	Shteg për Automjete Aventurë	Pistë Offroad	Rrugë për Xhipe	
Aerospace Company	Kompani Ajrorumore			
Afghan Restaurant	Restorant Afghan			
Airfield	Aeroport	Fushë Fluturimi		
Airline Company	Kompani Ajrore	Linjë Ajrore		
Algerian Restaurant	Restorant Algerian			
American Football Club	Klub Futbolli Amerikan			
American Football Stadium	Stadion Futbolli Amerikan			
Amphitheater	Amfiteatër			
Arabian Restaurant	Restorant Arab			
Arboretum or Botanical Garden	Arboret ose Kopsht Botanik	Kopsht Botanik		
Argentinian Restaurant	Restorant Argjentinase			
Armenian Restaurant	Restorant Armen			
Art School	Shkollë Arti			
Asian Restaurant	Restorant Aziatik			
Athletics Club	Klub Atletike	Klub Atletizmi		
Athletics Track	Pistë Atletike	Pistë Atletizmi		
Australian Restaurant	Restorant Australian			
Automotive Industry	Industri Automobilistike	Industri e Automjeteve		
Baseball Club	Klub Bejsbolli			
Baseball Park	Park Bejsbolli	Fushë Bejsbolli		
Basketball Club	Klub Basketbolli			
Basketball Stadium	Stadion Basketbolli	Pallat Sportesh për Basketboll		
Basque Restaurant	Restorant Bask			
Beach Volleyball Club	Klub Volejbolli Plazhi			
Bolivian Restaurant	Restorant Bolivian			
Bosnian Restaurant	Restorant Boshnjak			
Boules Club	Klub Petank			
Bowls Club	Klub Lojës me Topa	Klub Boulingu		
Brazilian Restaurant	Restorant Brazilian			
Buffet Restaurant	Restorant Bufé	Bufé		
Bulgarian Restaurant	Restorant Bullgar			
Burmese Restaurant	Restorant Birman			
Bus Stop	Stacion Autobusi	Ndalesa Autobusi	Stacion		
Cabaret Theater	Teatër Kabaret	Kabaret		
Cajun Restaurant	Restorant Kajun			
Cambodian Restaurant	Restorant Kamboxhian			
Canoe Club	Klub Kanueje	Klub Kanoje		
Car Bodyshop	Servis Karoserie	Riparim Karoserie		
Car Glass Replacement Shop	Shërbim Zëvendësimi Xhamash	Riparim Xhamash		
Car Parking Facility	Parking Automjetesh	Parking	Vend Parkimi	
Caribbean Restaurant	Restorant Karaibik			
Chicken Restaurant	Restorant Pule			
Chicken Wings Restaurant	Restorant Krahë Pule			
Chilean Restaurant	Restorant Kilian			
Chinese Restaurant	Restorant Kinez			
Church	Kishë			
Climbing Club	Klub Alpinizmi	Klub Ngjitjeje		
Clothing and Accessories Shop for Children	Dyqan Rrobash për Fëmijë	Dyqan Fëmijësh		
Clothing and Accessories Shop for Men	Dyqan Rrobash për Meshkuj	Dyqan Burracak		
Clothing and Accessories Shop for Women	Dyqan Rrobash për Gra	Dyqan Grash		
Coach Parking Facility	Parking Autokarësh	Parking Autobusësh		
Coach Stop	Stacion Autokarësh	Ndalesa Autokarësh		
Cocktail Bar	Bar Koktejesh	Bar Kokteilesh		
Colombian Restaurant	Restorant Kolumbian			
Concert Hall	Sallë Koncertesh	Sallë Koncertore		
Corsican Restaurant	Restorant Korsikan			
Creole Restaurant	Restorant Kreol			
Cricket Club	Klub Kriketi			
Cricket Ground	Fushë Kriketi	Terren Kriketi		
Cuban Restaurant	Restorant Kuban			
Culinary School	Shkollë Kulinarie	Shkollë Gatimi		
Cycling Club	Klub Çiklizmi	Klub Biçikletash		
Cypriot Restaurant	Restorant Qipriot			
Czech Restaurant	Restorant Çek			
Danish Restaurant	Restorant Danez			
Dinner Theater	Teatër me Darkë			
Discotheque	Diskotekë	Disko		
Dominican Restaurant	Restorant Dominikan			
Dongbei Restaurant	Restorant Dongbei			
Doughnut Restaurant	Restorant Donats	Dyqan Donatesh		
Drive Through Bottle Shop	Shitore Pijesh me Shërbim në Makinë			
Drive-In Cinema	Kinema në Makinë	Kinema Drive-In		
Dutch Restaurant	Restorant Holandez			
Egyptian Restaurant	Restorant Egjiptian			
English Restaurant	Restorant Anglez			
Erotic Restaurant	Restorant Erotik			
Ethiopian Restaurant	Restorant Etiopian			
Exotic Restaurant	Restorant Ekzotik			
Fairground	Panairi	Shesh Paniri		
Fast Food Restaurant	Restorant Ushqimi të Shpejta	Ushqim i Shpejtë	Fast Food	
Field Hockey Club	Klub Hokej në Fushë			
Field Hockey Ground	Fushë Hokej në Fushë			
Finnish Restaurant	Restorant Finlandez			
Fondue Restaurant	Restorant Fondiu			
