name_en	translation_sq	translation_bg
Adventure Vehicle Trail	Shteg për Automjete Aventurë	Офроуд маршрут
Aerospace Company	Kompani Ajrorumore	Авиокосмическа компания
Afghan Restaurant	Restorant Afghan	Афганистански ресторант
Airfield	Aeroport	Летище
Airline Company	Kompani Ajrore	Авиокомпания
Algerian Restaurant	Restorant Algerian	Алжирски ресторант
American Football Club	Klub Futbolli Amerikan	Клуб по американски футбол
American Football Stadium	Stadion Futbolli Amerikan	Стадион за американски футбол
Amphitheater	Amfiteatër	Амфитеатър
Arabian Restaurant	Restorant Arab	Арабски ресторант
Arboretum or Botanical Garden	Arboret ose Kopsht Botanik	Арборетум или ботаническа градина
Argentinian Restaurant	Restorant Argjentinase	Аржентински ресторант
Armenian Restaurant	Restorant Armen	Арменски ресторант
Art School	Shkollë Arti	Художествено училище
Asian Restaurant	Restorant Aziatik	Азиатски ресторант
Athletics Club	Klub Atletike	Клуб по лека атлетика
Athletics Track	Pistë Atletike	Лекоатлетическа писта
Australian Restaurant	Restorant Australian	Австралийски ресторант
Automotive Industry	Industri Automobilistike	Автомобилна индустрия
Baseball Club	Klub Bejsbolli	Клуб по бейзбол
Baseball Park	Park Bejsbolli	Бейзболен парк
Basketball Club	Klub Basketbolli	Баскетболен клуб
Basketball Stadium	Stadion Basketbolli	Баскетболна зала
Basque Restaurant	Restorant Bask	Баски ресторант
Beach Volleyball Club	Klub Volejbolli Plazhi	Клуб по плажен волейбол
Bolivian Restaurant	Restorant Bolivian	Боливийски ресторант
Bosnian Restaurant	Restorant Boshnjak	Босненски ресторант
Boules Club	Klub Petank	Клуб по петанк
Bowls Club	Klub Lojës me Topa	Клуб по боулинг
Brazilian Restaurant	Restorant Brazilian	Бразилски ресторант
Buffet Restaurant	Restorant Bufé	Ресторант тип бюфет
Bulgarian Restaurant	Restorant Bullgar	Български ресторант
Burmese Restaurant	Restorant Birman	Бирмански ресторант
Bus Stop	Stacion Autobusi	Автобусна спирка
Cabaret Theater	Teatër Kabaret	Кабаре театър
