name_en	translation_sr	translation_bg	translation_ro
Adventure Vehicle Trail	Офроуд стаза	Пътека за офроуд превозни средства	Traseu pentru vehicule off-road
Aerospace Company	Аерокосмичка компанија	Аерокосмическа компания	Companie aerospațială
Afghan Restaurant	Афганистански ресторан	Афганистански ресторант	Restaurant afgan
Airfield	Летиште	Летище	Aerodrom
Airline Company	Авиокомпанија	Авиокомпания	Companie aeriană
Algerian Restaurant	Алжирски ресторан	Алжирски ресторант	Restaurant algerian
American Football Club	Клуб америчког фудбала	Клуб по американски футбол	Club de fotbal american
American Football Stadium	Стадион америчког фудбала	Стадион за американски футбол	Stadion fotbal american
Amphitheater	Амфитеатар	Амфитеатър	Amfiteatru
Arabian Restaurant	Арапски ресторан	Арабски ресторант	Restaurant arab
Arboretum or Botanical Garden	Арборетум или ботаничка башта	Арборетум или ботаническа градина	Arboretum sau grădină botanică
Argentinian Restaurant	Аргентински ресторан	Аржентински ресторант	Restaurant argentinian
Armenian Restaurant	Јерменски ресторан	Арменски ресторант	Restaurant armean
Art School	Школа за уметност	Школа по изкуства	Școală de artă
Asian Restaurant	Азијски ресторан	Азиатски ресторант	Restaurant asiatic
Athletics Club	Атлетски клуб	Атлетически клуб	Club de atletism
Athletics Track	Атлетска стаза	Атлетическа писта	Pistă de atletism
Australian Restaurant	Аустралијски ресторан	Австралийски ресторант	Restaurant australian
Automotive Industry	Аутомобилска индустрија	Автомобилна индустрия	Industria auto
Baseball Club	Клуб бејзбол	Клуб по бейзбол	Club de baseball
Baseball Park	Бејзбол терен	Поле за бейзбол	Stadion baseball
Basketball Club	Кошаркашки клуб	Клуб по баскетбол	Club de baschet
Basketball Stadium	Кошаркашки стадион	Стадион по баскетбол	Stadion de baschet
Basque Restaurant	Баскијски ресторан	Баски ресторант	Restaurant basc
Beach Volleyball Club	Клуб одбојке на песку	Клуб плажен волейбол	Club volei pe plajă
Bolivian Restaurant	Боливијски ресторан	Боливийски ресторант	Restaurant bolivian
Bosnian Restaurant	Босански ресторан	Босненски ресторант	Restaurant bosniac
Boules Club	Клуб петанк	Клуб по петанк	Club de petanque
Bowls Club	Клуб боулс	Клуб по боулс	Club bowls
Brazilian Restaurant	Бразилски ресторан	Бразилски ресторант	Restaurant brazilian
Buffet Restaurant	Буфет ресторан	Бюфет ресторант	Restaurant tip bufet
Bulgarian Restaurant	Бугарски ресторан	Български ресторант	Restaurant bulgar
Burmese Restaurant	Бурмански ресторан	Бирмански ресторант	Restaurant birman
Bus Stop	Аутобуско стајалиште	Автобусна спирка	Stație de autobuz
Cabaret Theater	Кабаре театар	Кабарет театър	Teatru cabaret
Cajun Restaurant	Кејџун ресторан	Каджун ресторант	Restaurant cajun
Cambodian Restaurant	Камбоџански ресторан	Камбоджански ресторант	Restaurant cambodgian
Canoe Club	Кану клуб	Клуб по кану	Club de canoe
