name_en	translation_sr	translation_bg	translation_ro
Adventure Vehicle Trail	Стаза за теренска возила	Пътека за офроуд превозни средства	Traseu off‑road
Aerospace Company	Аеронаутичка компанија	Аерокосмическа компания	Companie aerospaţială
Afghan Restaurant	Авганистански ресторан	Афганистански ресторант	Restaurant afgan
Airfield	Аеродром (мали)	Летателно поле	Aerodrom
Airline Company	Авио-компанија	Авиокомпания	Companie aeriană
Algerian Restaurant	Алжирски ресторан	Алжирски ресторант	Restaurant algerian
American Football Club	Клуб америчког фудбала	Клуб по американски футбол	Club de fotbal american
American Football Stadium	Стадион за амерички фудбал	Стадион за американски футбол	Stadion fotbal american
Amphitheater	Амфитеатар	Амфитеатър	Amfiteatru
Arabian Restaurant	Арапски ресторан	Арабски ресторант	Restaurant arab
Arboretum or Botanical Garden	Арборетум / Ботаничка градина	Арборетум / Ботаническа градина	Arboretum / Grădină botanică
Argentinian Restaurant	Аргентински ресторан	Аржентински ресторант	Restaurant argentinian
Armenian Restaurant	Јерменски ресторан	Арменски ресторант	Restaurant armean
Art School	Школа за уметност	Училище по изкуства	Şcoală de arte
Asian Restaurant	Азијски ресторан	Азиатски ресторант	Restaurant asiatic
Athletics Club	Атлетски клуб	Атлетически клуб	Club atletism
Athletics Track	Атлетска писта	Атлетическа писта	Pistă atletism
Australian Restaurant	Аустралијски ресторан	Австралийски ресторант	Restaurant australian
Automotive Industry	Аутомобилска индустрија	Автомобилна индустрия	Industrie auto
Baseball Club	Клуб за бејзбол	Клуб по бейзбол	Club baseball
Baseball Park	Бејзболски терен	Бейзболно игрище	Teren baseball
Basketball Club	Кошаркашки клуб	Баскетболен клуб	Club baschet
Basketball Stadium	Кошаркашки стадион	Баскетболен стадион	Stadion baschet
Basque Restaurant	Баскијски ресторан	Баски ресторант	Restaurant basc
Beach Volleyball Club	Клуб за одбојка на плажи	Клуб по плажен волейбол	Club volei pe plajă
Bolivian Restaurant	Боливијски ресторан	Боливийски ресторант	Restaurant bolivian
Bosnian Restaurant	Босански ресторан	Босненски ресторант	Restaurant bosniac
Boules Club	Клуб за боулс	Клуб по боулс	Club boules
Bowls Club	Клуб за боулинк/боулс	Клуб по боулинг/боулс	Club bowls
Brazilian Restaurant	Бразилски ресторан	Бразилски ресторант	Restaurant brazilian
Buffet Restaurant	Буфет ресторан	Ресторант тип бюфет	Restaurant tip bufet
Bulgarian Restaurant	Бугарски ресторан	Български ресторант	Restaurant bulgar
Burmese Restaurant	Бирмански ресторан	Бирмански ресторант	Restaurant birman
Bus Stop	Ауто-стоп/Аутобуска станица	Автобусна спирка	Staţie autobuz
Cabaret Theater	Кабаре театар	Кабаре театър	Teatru cabaret
Cajun Restaurant	Кеџун ресторан	Каджун ресторант	Restaurant cajun
Cambodian Restaurant	Камбоџански ресторан	Камбоджански ресторант	Restaurant cambodgian
Canoe Club	Кану клуб	Клуб по кану	Club canoe
Car Bodyshop	Каросерија / сервис	Авто-боя/каросерия	Atelier caroserie
Car Glass Replacement Shop	Сервис за замена на стакла	Сервиз за смяна на автомобилни стъкла	Service schimb geamuri auto
Car Parking Facility	Паркинг	Паркинг	Parcare auto
Caribbean Restaurant	Карипски ресторан	Карибски ресторант	Restaurant caraibian
Chicken Restaurant	Ресторан за пиле	Ресторан за пиле	Restaurant pui
Chicken Wings Restaurant	Ресторан за пилешки крилца	Ресторант за пилешки крилца	Restaurant aripioare pui
Chilean Restaurant	Чилеански ресторан	Чилийски ресторант	Restaurant chilian
Chinese Restaurant	Кинески/Кинески ресторан	Китайски ресторант	Restaurant chinezesc
Church	Црква	Църква	Biserică
Climbing Club	Клуб за качување	Клуб по катерене	Club de escaladă
Clothing and Accessories Shop for Children	Дечја одећа и додатоци	Магазин за детски дрехи и аксесоари	Magazin haine copii
