name_en	translation_cs	synonym1_cs	synonym2_cs	synonym3_cs
Adventure Vehicle Trail	Trasa pro terénní vozidla	Off-road 4x4		
Aerospace Company	Letecká společnost	Aerospace společnost		
Afghan Restaurant	Afghánská restaurace			
Airfield	Letiště			
Airline Company	Letecká společnost	Aerolinie		
Algerian Restaurant	Alžírská restaurace			
American Football Club	Klub amerického fotbalu			
American Football Stadium	Stadion amerického fotbalu			
Amphitheater	Amfiteátr			
Arabian Restaurant	Arabská restaurace			
Arboretum or Botanical Garden	Arboretum nebo botanická zahrada	Botanická zahrada		
Argentinian Restaurant	Argentinská restaurace			
Armenian Restaurant	Arménská restaurace			
Art School	Umělecká škola			
Asian Restaurant	Asijská restaurace			
Athletics Club	Atletický klub			
Athletics Track	Atletická dráha			
Australian Restaurant	Australská restaurace			
Automotive Industry	Automobilový průmysl			
Baseball Club	Baseballový klub			
Baseball Park	Baseballový stadion	Stadion pro baseball		
Basketball Club	Basketbalový klub			
Basketball Stadium	Basketbalový stadion			
Basque Restaurant	Baskická restaurace			
Beach Volleyball Club	Klub plážového volejbalu			
Bolivian Restaurant	Bolivijská restaurace			
Bosnian Restaurant	Bosenská restaurace			
Boules Club	Petanque klub	Klub pétanque		
Bowls Club	Bowlingový klub			
Brazilian Restaurant	Brazilská restaurace			
Buffet Restaurant	Bufetová restaurace	Samoobslužná restaurace		
Bulgarian Restaurant	Bulharská restaurace			
Burmese Restaurant	Barmská restaurace			
Bus Stop	Autobusová zastávka			
Cabaret Theater	Kabaretní divadlo	Kabaret		
Cajun Restaurant	Cajunská restaurace			
Cambodian Restaurant	Kambodžská restaurace			
Canoe Club	Kanoistický klub			
Car Bodyshop	Autolakovnictví	Autokarosárna		
Car Glass Replacement Shop	Výměna autoskel			
Car Parking Facility	Parkoviště	Parking		
Caribbean Restaurant	Karibská restaurace			
Chicken Restaurant	Kuřecí restaurace			
Chicken Wings Restaurant	Restaurace s kuřecími křídly			
Chilean Restaurant	Chilská restaurace			
Chinese Restaurant	Čínská restaurace			
Church	Kostel	Chrám		
Climbing Club	Horolezecký klub			
Clothing and Accessories Shop for Children	Obchod s dětským oblečením a doplňky	Dětské oblečení		
Clothing and Accessories Shop for Men	Obchod s pánským oblečením a doplňky	Pánské oblečení		
Clothing and Accessories Shop for Women	Obchod s dámským oblečením a doplňky	Dámské oblečení		
Coach Parking Facility	Parkoviště pro autobusy			
Coach Stop	Autobusová zastávka			
Cocktail Bar	Koktejlový bar	Cocktail bar		
Colombian Restaurant	Kolumbijská restaurace			
Concert Hall	Koncertní síň	Koncertní hala		
Corsican Restaurant	Korsická restaurace			
Creole Restaurant	Kreolská restaurace			
Cricket Club	Kriketový klub			
Cricket Ground	Kriketové hřiště			
Cuban Restaurant	Kubánská restaurace			
Culinary School	Kuchařská škola	Gastronomická škola		
Cycling Club	Cyklistický klub			
Cypriot Restaurant	Kyperská restaurace			
Czech Restaurant	Česká restaurace			
Danish Restaurant	Dánská restaurace			
Dinner Theater	Divadlo s večeří			
Discotheque	Diskotéka	Noční klub		
Dominican Restaurant	Dominikánská restaurace			
Dongbei Restaurant	Dongbei restaurace			
Doughnut Restaurant	Restaurace s koblihami	Koblihy		
Drive Through Bottle Shop	Obchod s nápoji na průjezd			
Drive-In Cinema	Autokino			
Dutch Restaurant	Holandská restaurace			
Egyptian Restaurant	Egyptská restaurace			
English Restaurant	Anglická restaurace			
Erotic Restaurant	Erotická restaurace			
Ethiopian Restaurant	Etiopská restaurace			
Exotic Restaurant	Exotická restaurace			
Fairground	Lunapark	Zábavní park		
Fast Food Restaurant	Rychlé občerstvení	Fast food		
Field Hockey Club	Klub pozemního hokeje			
Field Hockey Ground	Hřiště pro pozemní hokej			
Finnish Restaurant	Finská restaurace			
Fondue Restaurant	Fondue restaurace			
French Restaurant	Francouzská restaurace			
Fusion Restaurant	Fusion restaurace			
Gas Industry	Plynárenský průmysl			
General Practitioner	Praktický lékař	Obvodní lékař		
German Restaurant	Německá restaurace			
Golf Club	Golfový klub			
Greek Restaurant	Řecká restaurace			
Grill Restaurant	Grilová restaurace	Restaurace s grilem		
Guangdong Restaurant	Guangdongská restaurace	Kantonská restaurace		
Gurudwara	Gurudwara	Sikhský chrám		
Gymnastics Club	Gymnastický klub			
Hamburger Restaurant	Hamburgerová restaurace	Burger restaurace		
Hawaiian Restaurant	Havajská restaurace			
High School	Střední škola			
Hiking Trail	Turistická stezka	Pěší stezka		
Historic Site	Historické místo	Památné místo		
Historical Park	Historický park			
Hockey Club	Hokejový klub			
Horse Race Track	Závodiště	Hipodrom		
Horse Riding Club	Jezdecký klub			
Horse Riding Trail	Jezdecká stezka			
Hospital for Women and Children	Nemocnice pro ženy a děti			
Hospital of Chinese Medicine	Nemocnice čínské medicíny			
Hot Pot Restaurant	Hot pot restaurace			
Hunan Restaurant	Hunanská restaurace			
Hungarian Restaurant	Maďarská restaurace			
Ice Cream Parlor	Zmrzlinárna			
Ice Hockey Arena	Hokejová aréna			
Ice Hockey Club	Klub ledního hokeje			
Indian Restaurant	Indická restaurace			
Indonesian Restaurant	Indonéská restaurace			
International Railway Station	Mezinárodní nádraží			
International Restaurant	Mezinárodní restaurace			
Iranian Restaurant	Íránská restaurace			
Irish Restaurant	Irská restaurace			
Israeli Restaurant	Izraelská restaurace			
Italian Restaurant	Italská restaurace			
Japanese Restaurant	Japonská restaurace			
Jazz Club	Jazzový klub	Jazz klub		
Jewish Restaurant	Židovská restaurace	Košer restaurace		
Karaoke Bar	Karaoke bar			
Korean Restaurant	Korejská restaurace			
Kosher Restaurant	Košer restaurace			
Lakeshore	Břeh jezera	Jezerní břeh		
Latin American Restaurant	Latinskoamerická restaurace			
Lebanese Restaurant	Libanonská restaurace			
Local Post Office	Místní pošta	Pošta		
Luxembourgian Restaurant	Lucemburská restaurace			
Macrobiotic Restaurant	Makrobiotická restaurace			
Maghrib Restaurant	Maghrebská restaurace			
Maltese Restaurant	Maltézská restaurace			
Mauritian Restaurant	Mauricijská restaurace			
Medicinal Marijuana Dispensary	Lékárna s léčebnou marihuanou			
Mediterranean Restaurant	Středomořská restaurace			
Mexican Restaurant	Mexická restaurace			
Middle Eastern Restaurant	Blízkovýchodní restaurace			
Middle School	Základní škola	Druhý stupeň ZŠ		
Military Airport	Vojenské letiště			
Mining Company	Těžební společnost			
Mongolian Restaurant	Mongolská restaurace			
Moroccan Restaurant	Marocká restaurace			
Mosque	Mešita			
Motor Racing Stadium	Závodní stadion	Automotodrom		
Motor Sport Club	Motoristický klub	Automotoklub		
Motorcycle Racing Club	Motocyklový závodní klub			
Mountain Bike Trail	Trasa pro horská kola			
Multi-Purpose Sport Stadium	Víceúčelový sportovní stadion			
Music and Video Rental Shop	Půjčovna hudby a videa			
Music Center	Hudební centrum			
Mussels Restaurant	Restaurace se slávkami			
Nail Salon	Nehtový salon	Manikúra		
National Railway Station	Hlavní nádraží	Národní nádraží		
Natural Recreation Attraction	Přírodní rekreační atrakce			
Nepalese Restaurant	Nepálská restaurace			
Netball Club	Netballový klub			
Netball Stadium	Netballový stadion			
Norwegian Restaurant	Norská restaurace			
Oil Industry	Ropný průmysl			
Opera House	Opera	Operní dům		
Organic Food Restaurant	Restaurace s biopotravinami	Bio restaurace		
Oriental Restaurant	Orientální restaurace			
Pagoda	Pagoda			
Pakistani Restaurant	Pákistánská restaurace			
Pancake House	Palačinkárna			
Parkway	Parkový okruh	Promenáda		
