name_en	translation_cs	IsSynonym
Adventure Vehicle Trail	Trasa pro terénní vozidla	
Adventure Vehicle Trail	Off-road 4x4	SYNONYM
Aerospace Company	Letecká společnost	
Aerospace Company	Aerospace společnost	SYNONYM
Afghan Restaurant	Afghánská restaurace	
Airfield	Letiště	
Airline Company	Letecká společnost	
Airline Company	Aerolinie	SYNONYM
Algerian Restaurant	Alžírská restaurace	
American Football Club	Klub amerického fotbalu	
American Football Stadium	Stadion amerického fotbalu	
Amphitheater	Amfiteátr	
Arabian Restaurant	Arabská restaurace	
Arboretum or Botanical Garden	Arboretum nebo botanická zahrada	
Arboretum or Botanical Garden	Botanická zahrada	SYNONYM
Argentinian Restaurant	Argentinská restaurace	
Armenian Restaurant	Arménská restaurace	
Art School	Umělecká škola	
Asian Restaurant	Asijská restaurace	
Athletics Club	Atletický klub	
Athletics Track	Atletická dráha	
Australian Restaurant	Australská restaurace	
Automotive Industry	Automobilový průmysl	
Baseball Club	Baseballový klub	
Baseball Park	Baseballový stadion	
Baseball Park	Stadion pro baseball	SYNONYM
Basketball Club	Basketbalový klub	
Basketball Stadium	Basketbalový stadion	
Basque Restaurant	Baskická restaurace	
Beach Volleyball Club	Klub plážového volejbalu	
Bolivian Restaurant	Bolivijská restaurace	
Bosnian Restaurant	Bosenská restaurace	
Boules Club	Petanque klub	
Boules Club	Klub pétanque	SYNONYM
Bowls Club	Bowlingový klub	
Brazilian Restaurant	Brazilská restaurace	
Buffet Restaurant	Bufetová restaurace	
Buffet Restaurant	Samoobslužná restaurace	SYNONYM
Bulgarian Restaurant	Bulharská restaurace	
Burmese Restaurant	Barmská restaurace	
Bus Stop	Autobusová zastávka	
Cabaret Theater	Kabaretní divadlo	
Cabaret Theater	Kabaret	SYNONYM
Cajun Restaurant	Cajunská restaurace	
Cambodian Restaurant	Kambodžská restaurace	
Canoe Club	Kanoistický klub	
Car Bodyshop	Autolakovnictví	
Car Bodyshop	Autokarosárna	SYNONYM
Car Glass Replacement Shop	Výměna autoskel	
Car Parking Facility	Parkoviště	
Car Parking Facility	Parking	SYNONYM
Caribbean Restaurant	Karibská restaurace	
Chicken Restaurant	Kuřecí restaurace	
Chicken Wings Restaurant	Restaurace s kuřecími křídly	
Chilean Restaurant	Chilská restaurace	
Chinese Restaurant	Čínská restaurace	
Church	Kostel	
Church	Chrám	SYNONYM
Climbing Club	Horolezecký klub	
