name_en	translation_bg	translation_et	translation_fi
Adventure Vehicle Trail	Маршрут за офроуд превозни средства	Maasturisõiduki rada	Maastoajoneuvoreitti
Aerospace Company	Авиокосмическа компания	Lennundusettevõte	Ilmailu- ja avaruusyritys
Afghan Restaurant	Афганистански ресторант	Afganistani restoran	Afganistanilainen ravintola
Airfield	Летище	Lennuväli	Lentokenttä
Airline Company	Авиокомпания	Lennufirma	Lentoyhtiö
Algerian Restaurant	Алжирски ресторант	Alžeeria restoran	Algerialainen ravintola
American Football Club	Клуб по американски футбол	Ameerika jalgpalluklubi	Amerikkalaisen jalkapallon seura
American Football Stadium	Стадион за американски футбол	Ameerika jalgpallistaadion	Amerikkalaisen jalkapallon stadion
Amphitheater	Амфитеатър	Amfiteater	Amfiteatteri
Arabian Restaurant	Арабски ресторант	Araabia restoran	Arabialainen ravintola
Arboretum or Botanical Garden	Дендрариум или ботаническа градина	Arboreetum või botaanikaaed	Arboretum tai kasvitieteellinen puutarha
Argentinian Restaurant	Аржентински ресторант	Argentina restoran	Argentiinalainen ravintola
Armenian Restaurant	Арменски ресторант	Armeenia restoran	Armenialainen ravintola
Art School	Художествено училище	Kunstikool	Taideoppilaitos
Asian Restaurant	Азиатски ресторант	Aasia restoran	Aasialainen ravintola
Athletics Club	Клуб по лека атлетика	Kergejõustikuklubi	Yleisurheiluseura
Athletics Track	Лекоатлетическа писта	Kergejõustikurada	Yleisurheilurata
Australian Restaurant	Австралийски ресторант	Austraalia restoran	Australialainen ravintola
Automotive Industry	Автомобилна индустрия	Autotööstus	Autoteollisuus
Baseball Club	Бейзбол клуб	Pesapalluklubi	Baseballseura
Baseball Park	Бейзбол стадион	Pesapalliplats	Baseballkenttä
Basketball Club	Баскетболен клуб	Korvpalluklubi	Koripalloseura
Basketball Stadium	Баскетболна зала	Korvpallistaadion	Koripallostadion
Basque Restaurant	Баски ресторант	Baski restoran	Baskilainen ravintola
Beach Volleyball Club	Клуб по плажен волейбол	Rannavõrkpalluklubi	Rantalentopalloseura
Bolivian Restaurant	Боливийски ресторант	Boliivia restoran	Bolivialainen ravintola
Bosnian Restaurant	Босненски ресторант	Bosnia restoran	Bosnialainen ravintola
Boules Club	Клуб по петанк	Petanque'i klubi	Petanque-seura
Bowls Club	Клуб по лавнбоулинг	Murukeegluklubi	Nurmikeilailuseura
Brazilian Restaurant	Бразилски ресторант	Brasiilia restoran	Brasilialainen ravintola
Buffet Restaurant	Ресторант тип бюфе	Buffet-restoran	Buffet-ravintola
Bulgarian Restaurant	Български ресторант	Bulgaaria restoran	Bulgarialainen ravintola
Burmese Restaurant	Бирмански ресторант	Birma restoran	Burmalainen ravintola
Bus Stop	Автобусна спирка	Bussipeatus	Bussipysäkki
Cabaret Theater	Кабаре театър	Kabaree	Kabaree
Cajun Restaurant	Кейджънски ресторант	Cajun-restoran	Cajun-ravintola
Cambodian Restaurant	Камбоджански ресторант	Kambodža restoran	Kambodžalainen ravintola
Canoe Club	Клуб по кану	Kanuuklubi	Kanoottikerho
Car Bodyshop	Автосервиз за каросерия	Autokeretöökoda	Autokorjaamo
Car Glass Replacement Shop	Автостъклар	Autoklaasitöökoda	Autolasinvaihto
Car Parking Facility	Паркинг за автомобили	Parkla	Pysäköintialue
Caribbean Restaurant	Карибски ресторант	Kariibi restoran	Karibialainen ravintola
Chicken Restaurant	Ресторант за пилешко	Kanarestoran	Kanaravintola
Chicken Wings Restaurant	Ресторант за пилешки крилца	Kanatiibade restoran	Kanansiipien ravintola
Chilean Restaurant	Чилийски ресторант	Tšiili restoran	Chileläinen ravintola
Chinese Restaurant	Китайски ресторант	Hiina restoran	Kiinalainen ravintola
Church	Църква	Kirik	Kirkko
Climbing Club	Клуб по катерене	Ronimisklubi	Kiipeilyseura
Clothing and Accessories Shop for Children	Магазин за детски дрехи и аксесоари	Laste riide- ja aksessuaaride pood	Lasten vaate- ja asustemyymälä
Clothing and Accessories Shop for Men	Магазин за мъжки дрехи и аксесоари	Meeste riide- ja aksessuaaride pood	Miesten vaate- ja asustemyymälä
Clothing and Accessories Shop for Women	Магазин за дамски дрехи и аксесоари	Naiste riide- ja aksessuaaride pood	Naisten vaate- ja asustemyymälä
Coach Parking Facility	Паркинг за автобуси	Bussiparkla	Linja-autojen pysäköintialue
Coach Stop	Спирка за автобуси	Bussipeatus	Linja-autopysäkki
Cocktail Bar	Коктейл бар	Kokteilbaar	Cocktail-baari
Colombian Restaurant	Колумбийски ресторант	Colombia restoran	Kolumbialainen ravintola
Concert Hall	Концертна зала	Kontserdisaal	Konserttisali
Corsican Restaurant	Корсикански ресторант	Korsika restoran	Korsikalainen ravintola
